# Time-averaged data for fix fg
# TimeStep v_pxx v_pyy v_pzz
28600 -0.0900991 -0.014448 -0.0404532
28800 -0.139366 -0.149731 -0.0333996
29000 -0.144876 -0.119339 -0.0275626
29200 -0.0231195 -0.206632 -0.0501721
29400 -0.101959 -0.154031 -0.116457
29600 -0.144585 -0.244466 -0.0870995
29800 -0.12458 -0.187484 -0.0977193
30000 -0.0944895 -0.10956 -0.0647196
30200 -0.0857249 -0.0798555 -0.103124
30400 -0.106185 -0.119744 -0.0858553
30600 -0.113056 -0.0582665 -0.0296931
30800 0.0668855 -0.0256012 0.0122404
31000 -0.0677653 -0.144778 -0.0126062
31200 -0.213242 -0.175477 -0.0990949
31400 -0.139508 -0.184535 -0.12889
31600 -0.105847 -0.197541 -0.0864192
31800 -0.107644 -0.188697 -0.0427372
32000 -0.119626 -0.0719477 -0.103486
32200 -0.0968995 -0.0835172 -0.134804
32400 -0.102743 -0.140185 -0.0949286
32600 0.0148519 -0.0920138 -0.0858758
32800 -0.192033 -0.113438 -0.0341545
33000 -0.11863 -0.141207 -0.127017
33200 -0.118571 -0.0656826 -0.068754
33400 -0.137572 -0.161029 -0.0792215
33600 -0.0902855 -0.0953731 -0.0295498
33800 -0.0537579 0.0328078 -0.0506735
34000 -0.224529 -0.0877037 -0.111059
34200 -0.239559 -0.0442595 0.00530417
34400 -0.092899 -0.140058 -0.101377
34600 -0.113231 -0.0610919 -0.0572009
34800 0.0153463 0.0428752 -0.0678502
35000 -0.130166 -0.183183 -0.109763
35200 -0.228871 -0.0293658 -0.0593059
35400 -0.234474 -0.134217 -0.0790532
35600 -0.124542 -0.144503 -0.0487995
35800 -0.188526 -0.0290386 -0.112116
36000 -0.118018 -0.180192 -0.0877268
36200 -0.204282 -0.104358 -0.136718
36400 -0.115978 -0.190221 -0.0298989
36600 -0.0115805 -0.0528274 -0.133182
36800 -0.0206585 -0.00637087 0.0205008
37000 -0.220863 -0.0802104 -0.0930511
37200 -0.135523 -0.0495443 -0.103231
37400 -0.0859518 -0.0043328 0.034419
37600 -0.148394 -0.145647 -0.145787
37800 -0.161816 -0.106055 -0.111669
38000 0.0515613 -0.0374216 -0.0108281
38200 -0.00675704 -0.16387 -0.0438246
38400 -0.186826 -0.0973894 0.0251123
38600 -0.10101 -0.0694495 -0.0131128
38800 -0.0982316 -0.0981187 -0.0258496
39000 -0.0537585 -0.0671079 -0.00551606
39200 -0.132913 -0.0443786 0.0126954
39400 0.011965 -0.157232 -0.0727128
39600 -0.364959 -0.227701 -0.126081
39800 -0.0791593 -0.203931 -0.0808692
40000 -0.12434 -0.0610155 -0.0459738
40200 -0.12236 -0.0299965 -0.123262
40400 -0.0899812 -0.0510491 -0.0297139
40600 -0.132237 -0.0474056 0.0350489
40800 -0.119408 -0.172235 -0.153137
41000 -0.130018 -0.127363 0.0748986
41200 -0.148997 -0.0622124 0.000672458
41400 -0.188245 -0.182145 -0.0635354
41600 -0.13805 -0.057361 -0.0986427
41800 -0.144705 -0.159744 -0.243837
42000 -0.0907978 -0.205225 0.0550666
42200 -0.207893 -0.0833297 -0.0342703
42400 -0.149534 -0.178856 -0.0194499
42600 -0.0733967 -0.0553875 -0.0944399
42800 -0.0787667 -0.0870677 -0.105753
43000 -0.0151966 -0.0780398 -0.109012
43200 -0.108572 -0.0434774 0.0150118
43400 -0.144401 -0.0930197 -0.00819769
43600 -0.0379765 -0.0910062 -0.220513
43800 -0.122916 -0.0870323 -0.0933929
44000 -0.0513923 -0.143383 -0.0765126
44200 -0.204629 -0.0409975 0.0587786
44400 -0.105612 -0.00565978 -0.033293
44600 -0.102943 0.0886883 -0.0703637
44800 -0.0933575 -0.180452 -0.00373325
45000 -0.135698 -0.168538 -0.144627
45200 -0.294346 -0.217869 -0.175582
45400 -0.142209 -0.0823148 -0.126053
45600 -0.120172 -0.0957805 -0.0289935
45800 -0.142203 0.0125113 -0.114585
46000 -0.177888 -0.101071 -0.0459204
46200 -0.0739206 -0.0687483 0.12023
46400 -0.058909 -0.117924 -0.0287918
46600 -0.215548 -0.198586 -0.0984075
46800 -0.0911532 -0.129154 -0.000882303
47000 -0.0486216 -0.128066 -0.0684936
47200 -0.131015 -0.12525 -0.0827165
47400 -0.185473 -0.182296 -0.148195
47600 -0.0555042 -0.198107 -0.0272614
47800 -0.0600723 -0.143615 0.0720447
48000 0.0616228 0.0468075 0.0495997
