# Time-averaged data for fix fIK
# TimeStep Number-of-rows
# Row c_pIK[1] c_pIK[2] c_pIK[3] c_pIK[4] c_pIK[5] c_pIK[6] c_pIK[7] c_pIK[8]
30000 360
63 6.25 0.00333333 0.000914705 0.00210664 0.0040115 0.00250002 0.00156244 0.00373627
64 6.35 0.00333333 1.05313e-05 0.00391217 0.000150016 0.00301912 0.0036362 0.00945547
65 6.45 0.0233333 0.0144367 0.013497 0.0199682 0.00293974 0.00391219 0.0110458
66 6.55 0.01 0.00312886 0.00261474 0.000941476 0.00045759 0.0021369 0.00691154
67 6.65 0.0233333 0.0332882 0.0156634 0.0300578 -0.00126277 -0.00684368 0.00600038
68 6.75 0.03 0.0188241 0.0323416 0.0364767 -0.00461562 -0.00392272 0.00489754
69 6.85 0.0166667 0.00855354 0.0111768 0.012049 -0.00734646 -0.00602926 0.000651612
70 6.95 0.0133333 0.0280243 0.0145595 0.00674027 -0.000624837 -0.00470101 0.00356247
71 7.05 0.0366667 0.0351687 0.0306384 0.0128011 0.000871195 -0.00601046 0.00429783
72 7.15 0.02 0.00816614 0.016196 0.00932618 0.0259508 0.00426714 0.00749106
73 7.25 0.0166667 0.00276011 0.0157308 0.0174091 0.026142 0.00275107 -0.00063629
74 7.35 0.04 0.0415869 0.0170312 0.0205824 0.0100587 0.00337697 -0.00510687
75 7.45 0.03 0.0191127 0.0521949 0.0238966 -0.00620979 0.000221457 -0.00682779
76 7.55 0.02 0.00995232 0.00885767 0.00258759 -0.00832646 -0.00646186 -0.0141471
77 7.65 0.0366667 0.0172611 0.0304024 0.0275644 -0.0156487 -0.0155279 -0.0198647
78 7.75 0.0133333 0.0134019 0.0132193 0.0317315 -0.0139704 -0.0144275 -0.0194902
79 7.85 0.0433333 0.0229646 0.0293491 0.0336078 -0.0154658 -0.0175037 -0.0241162
80 7.95 0.0333333 0.0206173 0.0419275 0.0523413 -0.00787942 -0.0122505 -0.02309
81 8.05 0.0433333 0.0646021 0.0286771 0.0467196 -0.00997249 -0.0150683 -0.0277083
82 8.15 0.0366667 0.0253416 0.0462601 0.0677928 -0.00873979 -0.00877689 -0.038183
83 8.25 0.05 0.0473748 0.0470597 0.0461832 -0.0213163 -0.0213476 -0.043496
84 8.35 0.0633333 0.0239222 0.0660941 0.0504275 -0.0414466 -0.0454304 -0.0524074
85 8.45 0.06 0.0371329 0.040141 0.0288209 -0.0314394 -0.0530808 -0.0574057
86 8.55 0.0833333 0.171662 0.0700105 0.0615053 -0.0386426 -0.0641162 -0.0659618
87 8.65 0.123333 0.0881492 0.139929 0.135835 -0.0768445 -0.128732 -0.0847109
88 8.75 0.113333 0.0861835 0.0896683 0.0890349 -0.0853613 -0.157614 -0.0953783
89 8.85 0.126667 0.076939 0.0947779 0.0871428 -0.16691 -0.173428 -0.107203
90 8.95 0.15 0.119174 0.0998664 0.140639 -0.128577 -0.0997146 -0.120388
91 9.05 0.166667 0.168862 0.132691 0.147424 -0.183429 -0.190223 -0.158145
92 9.15 0.21 0.164083 0.173317 0.150301 -0.229455 -0.206013 -0.183768
93 9.25 0.21 0.15987 0.162322 0.153844 -0.280454 -0.32732 -0.226532
94 9.35 0.273333 0.205913 0.231307 0.209611 -0.277966 -0.379239 -0.249093
95 9.45 0.28 0.186791 0.25771 0.191829 -0.407358 -0.32622 -0.257857
96 9.55 0.35 0.260639 0.342209 0.250118 -0.398686 -0.207174 -0.278317
97 9.65 0.363333 0.34029 0.273012 0.280707 -0.440692 -0.522173 -0.288381
98 9.75 0.38 0.314525 0.38717 0.270539 -0.539461 -0.667786 -0.315524
99 9.85 0.38 0.345943 0.361863 0.276633 -0.468453 -0.517214 -0.345428
100 9.95 0.443333 0.464622 0.383182 0.440336 -0.679404 -0.556189 -0.377625
101 10.05 0.496667 0.415138 0.476018 0.477389 -0.549027 -0.544884 -0.411125
102 10.15 0.586667 0.558713 0.525395 0.54841 -0.800035 -0.851907 -0.42921
103 10.25 0.503333 0.467254 0.417944 0.399724 -1.00295 -0.931008 -0.492618
104 10.35 0.58 0.5112 0.420834 0.42718 -0.99935 -0.830642 -0.597166
105 10.45 0.63 0.543257 0.620962 0.537712 -0.908996 -0.436756 -0.671432
106 10.55 0.61 0.649781 0.458753 0.454969 -1.21239 -0.958434 -0.716941
107 10.65 0.6 0.64814 0.538102 0.490796 -1.03336 -1.05862 -0.768858
108 10.75 0.65 0.502675 0.611193 0.658506 -1.27384 -1.16799 -0.765864
109 10.85 0.64 0.561836 0.649203 0.477303 -1.30811 -1.12143 -0.779811
110 10.95 0.646667 0.476231 0.550096 0.469793 -0.985125 -0.677475 -0.820422
111 11.05 0.636667 0.519273 0.464252 0.520182 -1.0671 -1.03738 -0.777972
112 11.15 0.71 0.563777 0.665647 0.657176 -0.878001 -0.800063 -0.723033
113 11.25 0.733333 0.627961 0.662524 0.764441 -0.759989 -0.953366 -0.635215
114 11.35 0.696667 0.636152 0.612214 0.511957 -1.03753 -0.967777 -0.638265
115 11.45 0.733333 0.63725 0.619925 0.710219 -0.849498 -1.03948 -0.659159
116 11.55 0.696667 0.568117 0.512624 0.57517 -0.898907 -0.8347 -0.60212
117 11.65 0.69 0.653314 0.598837 0.539641 -0.751667 -0.766318 -0.601265
118 11.75 0.666667 0.579832 0.613884 0.622103 -1.01992 -1.11163 -0.576368
119 11.85 0.74 0.650375 0.663598 0.615049 -1.21613 -0.969207 -0.631061
120 11.95 0.75 0.689753 0.63307 0.619208 -1.07182 -0.697098 -0.681313
121 12.05 0.773333 0.687213 0.635254 0.657981 -1.08186 -0.946998 -0.649303
122 12.15 0.696667 0.642282 0.614048 0.571029 -0.703691 -0.720202 -0.60182
123 12.25 0.766667 0.658693 0.643007 0.718912 -0.648024 -0.896813 -0.726085
124 12.35 0.736667 0.652398 0.599136 0.597801 -0.967098 -0.356423 -0.741743
125 12.45 0.753333 0.641355 0.547341 0.578168 -1.3886 -1.11393 -0.793942
126 12.55 0.71 0.58161 0.552894 0.653316 -0.862308 -0.547278 -0.668145
127 12.65 0.706667 0.651136 0.629778 0.651926 -1.05021 -0.958374 -0.610241
128 12.75 0.746667 0.676681 0.534496 0.59224 -1.25084 -1.15537 -0.598928
129 12.85 0.713333 0.675412 0.533556 0.70593 -0.956888 -0.632698 -0.556936
130 12.95 0.716667 0.730164 0.562691 0.530535 -1.23114 -0.97361 -0.656089
131 13.05 0.816667 0.644412 0.701207 0.612761 -0.957135 -0.97927 -0.759108
132 13.15 0.73 0.725561 0.604454 0.693542 -0.985263 -1.12177 -0.802572
133 13.25 0.756667 0.604063 0.610952 0.573703 -1.23569 -1.07882 -0.873839
134 13.35 0.76 0.726427 0.8006 0.649105 -0.824913 -0.865006 -0.916922
135 13.45 0.786667 0.674373 0.707786 0.716015 -1.06878 -1.1311 -0.959027
136 13.55 0.816667 0.680082 0.771442 0.699465 -0.691334 -0.636419 -0.930947
