# Time-averaged data for fix f1
# TimeStep Number-of-rows
# Row c_pp[1] c_pp[2] c_pp[3] c_pp[4] c_pp[5] c_pp[6] c_pp[7] c_pp[8]
0 395
95 5.67934 0 0 0 0 -0.76032 0.766156 2.35586
96 5.73944 0 0 0 0 -0.857618 1.07696 1.46387
97 5.79953 0 0 0 0 0.917704 2.25249 1.23865
98 5.85963 0 0 0 0 1.5008 1.74056 1.28644
99 5.91973 0 0 0 0 6.00156 6.96486 1.67438
100 5.97983 0 0 0 0 4.59944 4.71181 1.85719
101 6.03993 0 0 0 0 1.95047 3.54385 1.66225
102 6.10003 0 0 0 0 -0.277622 1.87668 1.07706
103 6.16013 0 0 0 0 -1.58939 0.701387 0.470526
104 6.22023 0 0 0 0 -1.00618 1.4681 0.13004
105 6.28033 0 0 0 0 -1.54924 -0.491757 0.254079
106 6.34042 0 0 0 0 -0.547537 0.424536 0.498561
107 6.40052 0 0 0 0 1.95124 2.03583 0.26651
108 6.46062 0 0 0 0 0.522874 0.200897 0.506703
109 6.52072 0 0 0 0 0.565855 -0.189425 0.55966
110 6.58082 0 0 0 0 0.459807 -0.47736 0.807755
111 6.64092 0 0 0 0 1.39431 0.566541 1.30421
112 6.70102 0 0 0 0 0.279122 2.21577 1.64801
113 6.76112 0 0 0 0 0.277179 2.21261 1.79852
114 6.82121 0 0 0 0 1.9308 9.0238 2.7192
115 6.88131 0 0 0 0 1.56179 4.06051 2.89455
116 6.94141 0 0 0 0 1.26541 1.22836 2.80412
117 7.00151 0 0 0 0 0.809365 1.57548 2.71276
118 7.06161 0 0 0 0 1.41065 4.44214 3.2479
119 7.12171 0 0 0 0 1.52117 5.30671 3.04106
120 7.18181 0 0 0 0 1.32284 5.89437 3.12143
121 7.24191 0 0 0 0 0.62102 3.48655 3.53741
122 7.302 0 0 0 0 2.16964 2.58246 3.84964
123 7.3621 0 0 0 0 0.786055 4.36119 4.18022
124 7.4222 0 0 0 0 0.000869452 2.83029 4.83863
125 7.4823 0 0 0 0 -0.303074 4.2652 5.65087
126 7.5424 0 0 0 0 0.0224764 2.62185 5.68279
127 7.6025 0 0 0 0 -0.21748 1.62464 5.40857
128 7.6626 0 0 0 0 -0.173352 4.85099 5.66737
129 7.7227 0 0 0 0 -0.154386 5.67711 5.67072
130 7.7828 0 0 0 0 -0.500599 6.39137 5.21695
131 7.84289 0 0 0 0 0.392851 6.83494 5.09033
132 7.90299 0 0 0 0 1.48263 7.82804 5.04528
133 7.96309 0 0 0 0 4.11088 5.5385 4.75993
134 8.02319 0 0 0 0 4.5345 4.74044 4.2709
135 8.08329 0 0 0 0 3.01792 3.88158 3.78132
136 8.14339 0 0 0 0 4.46173 8.80764 2.92874
137 8.20349 0 0 0 0 -0.714642 2.91249 3.4621
138 8.26359 0 0 0 0 -0.4923 -0.221537 3.68954
139 8.32368 0 0 0 0 1.53676 2.50909 3.51224
140 8.38378 0 0 0 0 2.40005 3.82922 3.56598
141 8.44388 0 0 0 0 2.84167 5.05083 3.59337
142 8.50398 0 0 0 0 4.06955 5.82598 3.87101
143 8.56408 0 0 0 0 6.60813 7.47688 3.59266
144 8.62418 0 0 0 0 1.60936 0.979337 3.25537
145 8.68428 0 0 0 0 1.77741 0.899726 3.38368
146 8.74438 0 0 0 0 2.50652 0.935391 3.41852
147 8.80447 0 0 0 0 2.19198 0.125022 3.7821
148 8.86457 0 0 0 0 2.95336 1.49926 4.35416
149 8.92467 0 0 0 0 2.91611 4.75017 4.48459
150 8.98477 0 0 0 0 2.11569 0.817984 3.97292
151 9.04487 0 0 0 0 4.38851 4.8917 2.97639
152 9.10497 0 0 0 0 6.58792 8.88379 3.8026
153 9.16507 0 0 0 0 2.08177 2.63041 4.40935
154 9.22517 0 0 0 0 4.38457 3.08183 4.38089
155 9.28527 0 0 0 0 4.74522 4.07236 4.43245
156 9.34536 0 0 0 0 3.87559 6.0325 4.93046
157 9.40546 0 0 0 0 2.6574 5.2757 5.14172
158 9.46556 0 0 0 0 7.86939 3.91733 5.56493
159 9.52566 0 0 0 0 6.0141 4.26303 6.45831
160 9.58576 0 0 0 0 4.69959 7.78222 6.69356
161 9.64586 0 0 0 0 4.20745 5.6636 6.54989
162 9.70596 0 0 0 0 6.98131 6.90052 5.99643
163 9.76606 0 0 0 0 8.93496 12.5169 5.4104
164 9.82615 0 0 0 0 4.42511 2.39315 6.09615
165 9.88625 0 0 0 0 4.41171 3.77522 6.67137
166 9.94635 0 0 0 0 4.64521 3.13515 6.3835
167 10.0065 0 0 0 0 7.21997 3.50479 7.2571
168 10.0665 0 0 0 0 7.5886 4.86834 7.89982
169 10.1266 0 0 0 0 6.7212 6.09022 7.4723
170 10.1867 0 0 0 0 5.416 5.75379 6.8962
171 10.2468 0 0 0 0 7.01417 4.84098 6.37495
172 10.3069 0 0 0 0 4.17076 5.36853 6.8902
173 10.367 0 0 0 0 4.70463 5.51765 7.28176
174 10.4271 0 0 0 0 3.32759 5.27953 6.92013
175 10.4872 0 0 0 0 2.22124 4.68358 6.60353
176 10.5473 0 0 0 0 1.00472 6.58348 6.27863
177 10.6074 0 0 0 0 1.37027 6.42342 5.44444
178 10.6675 0 0 0 0 2.69803 5.19968 4.76088
179 10.7276 0 0 0 0 9.30687 4.70359 5.12189
180 10.7877 0 0 0 0 6.88692 4.34761 5.46769
181 10.8478 0 0 0 0 7.79511 8.16893 6.41923
182 10.9079 0 0 0 0 9.03072 7.20358 6.9357
183 10.968 0 0 0 0 11.2916 8.62597 7.7777
184 11.0281 0 0 0 0 11.0868 7.64712 8.00843
185 11.0882 0 0 0 0 8.87288 6.69313 7.71348
186 11.1483 0 0 0 0 6.00684 7.06629 7.73816
187 11.2084 0 0 0 0 6.36566 9.33648 7.90613
188 11.2685 0 0 0 0 10.1512 7.75115 7.6136
189 11.3286 0 0 0 0 4.64567 4.65245 7.09982
190 11.3887 0 0 0 0 7.78443 6.80687 6.63718
191 11.4488 0 0 0 0 7.59193 5.11493 6.28848
192 11.5089 0 0 0 0 2.66503 4.95365 5.55747
193 11.569 0 0 0 0 4.64829 5.91256 5.45418
194 11.6291 0 0 0 0 5.32241 7.53157 6.34264
195 11.6892 0 0 0 0 6.1107 7.54277 6.45903
196 11.7493 0 0 0 0 3.81725 7.34576 6.05242
197 11.8094 0 0 0 0 3.35976 6.18061 6.25539
198 11.8695 0 0 0 0 9.60726 4.60073 6.0817
199 11.9296 0 0 0 0 9.98652 2.75699 5.76096
200 11.9897 0 0 0 0 10.1504 4.30457 5.90107
201 12.0498 0 0 0 0 3.92525 4.86239 6.50121
202 12.1099 0 0 0 0 2.99592 5.14002 6.73948
203 12.17 0 0 0 0 4.38362 4.7771 6.81047
204 12.2301 0 0 0 0 11.8063 2.64944 6.2746
205 12.2902 0 0 0 0 3.87848 2.75513 5.45833
206 12.3503 0 0 0 0 4.33793 5.77037 5.11193
207 12.4104 0 0 0 0 4.32526 3.95784 5.03622
208 12.4705 0 0 0 0 5.38951 3.75303 4.15517
209 12.5306 0 0 0 0 0.185785 1.51883 3.72767
210 12.5907 0 0 0 0 1.24922 2.62017 3.62091
211 12.6508 0 0 0 0 3.69292 2.70202 3.93818
212 12.7109 0 0 0 0 6.36026 2.49449 3.94477
213 12.771 0 0 0 0 3.12253 3.06372 4.20445
214 12.8311 0 0 0 0 10.7008 7.73179 4.46941
215 12.8912 0 0 0 0 17.9476 10.0186 4.67587
216 12.9513 0 0 0 0 8.70193 8.79058 4.56739
217 13.0114 0 0 0 0 5.19282 6.76336 4.65252
218 13.0715 0 0 0 0 3.28949 5.28872 4.62042
219 13.1316 0 0 0 0 3.99549 6.06971 4.79881
220 13.1917 0 0 0 0 5.79062 10.7862 4.76895
221 13.2518 0 0 0 0 6.35374 10.1655 4.82802
222 13.3119 0 0 0 0 8.19543 9.85002 4.91101
223 13.372 0 0 0 0 5.92698 7.59967 4.77842
224 13.4321 0 0 0 0 4.59023 5.02566 4.39987
225 13.4922 0 0 0 0 7.11366 4.49933 4.2785
226 13.5523 0 0 0 0 5.68126 1.67908 4.12061
227 13.6124 0 0 0 0 2.01941 1.97731 4.1656
228 13.6725 0 0 0 0 2.05517 4.84908 4.43864
229 13.7326 0 0 0 0 2.25165 9.12385 4.49787
230 13.7927 0 0 0 0 2.5592 3.52959 4.35725
231 13.8528 0 0 0 0 7.58508 4.46714 4.58756
232 13.9129 0 0 0 0 4.83115 7.42957 4.87839
233 13.973 0 0 0 0 6.46036 7.19222 4.52216
234 14.0331 0 0 0 0 8.95498 10.5957 4.49817
235 14.0932 0 0 0 0 6.56806 1.59296 4.18037
236 14.1533 0 0 0 0 10.2026 3.04731 4.46775
237 14.2134 0 0 0 0 9.4974 4.02636 4.38271
238 14.2735 0 0 0 0 7.15686 4.8236 4.25194
239 14.3336 0 0 0 0 3.48983 3.05603 4.23805
240 14.3937 0 0 0 0 4.00855 4.72135 4.4972
241 14.4538 0 0 0 0 1.2857 4.63251 4.55983
242 14.5139 0 0 0 0 1.79275 3.13692 4.57148
243 14.574 0 0 0 0 3.77641 1.88716 5.26857
244 14.6341 0 0 0 0 5.02991 3.16983 5.55767
