# Time-averaged data for fix fa
# TimeStep Number-of-rows
# Row c_pA[1] c_pA[2] c_pA[3] c_pA[4] c_pA[5] c_pA[6] c_pA[7] c_pA[8]
0 360
84 8.35 0.1 0.0479231 0.127154 0.00815483 -0.126081 -0.160034 -0.25201
85 8.45 0.2 0.0516069 0.0277107 0.294603 -0.262814 -0.378918 -0.253599
86 8.55 0 0 0 0 -0.225509 -0.172949 -0.272246
87 8.65 0 0 0 0 -0.225265 -0.172705 -0.272016
88 8.75 0.3 0.316434 0.23666 0.794797 -0.18083 -0.414179 -0.309072
89 8.85 0 0 0 0 -0.139418 -0.184937 -0.325086
90 8.95 0.1 0.000239719 0.619886 0.195114 -0.140861 -0.202345 -0.326086
91 9.05 0.3 0.504459 0.109776 0.0334939 1.09635 -0.14944 -0.199842
92 9.15 0.3 0.108821 0.20794 0.324065 0.360142 -0.255784 0.0353418
93 9.25 0.3 0.16228 0.364021 0.225936 -0.168967 -0.366126 0.0160177
94 9.35 0.1 0.142158 0.0245461 0.0556316 -0.140732 -0.324032 0.065102
95 9.45 0.4 0.156749 0.0888554 0.201244 -0.36288 -0.447131 0.0586653
96 9.55 0.3 0.142514 0.159553 0.389702 -0.715824 -0.391726 -0.0127932
97 9.65 0.5 0.669993 0.240097 0.35776 -0.502699 -0.460821 -0.0817142
98 9.75 0.2 0.159481 0.0565792 0.00434283 -0.452508 -0.782439 -0.130008
99 9.85 0.6 0.408606 0.5203 0.424185 -0.812135 -1.69749 -0.432177
100 9.95 0.8 0.673066 0.326246 0.216187 -0.758147 0.0667823 -0.475497
101 10.05 0.5 0.32033 0.296998 0.343172 -1.29438 -0.0126426 -0.47961
102 10.15 0.5 0.844266 0.253225 0.371062 -1.48819 -1.1663 -0.551524
103 10.25 0.6 0.431982 0.237776 0.410607 -1.7546 -1.43877 -0.478197
104 10.35 0.5 0.811558 0.209258 0.679107 -1.69121 -0.847856 -0.278543
105 10.45 0.6 0.2717 0.207237 0.205264 -1.75327 -1.5175 0.0890344
106 10.55 0.5 0.616692 0.60583 0.464927 -1.79006 -1.62461 0.0439334
107 10.65 1 1.23219 0.288388 0.295041 -2.72939 -1.9656 0.447042
108 10.75 0.6 0.938506 0.203382 0.172389 -1.35364 -0.689837 0.137639
109 10.85 0.7 0.1384 0.983919 0.421642 -0.620936 -0.682435 -0.0551133
110 10.95 0.4 0.243866 0.0902514 0.232407 -0.783468 -1.14441 -0.0984079
111 11.05 0.7 0.298629 0.239409 0.509205 -1.74308 -2.15576 -0.194942
112 11.15 0.5 0.332689 0.248504 0.52307 -2.82897 -2.47898 -0.320666
113 11.25 1 0.90965 1.2844 0.458667 -2.39438 -3.17316 -0.208972
114 11.35 0.7 0.900009 0.490377 0.592004 -0.825376 -2.18927 -0.508601
115 11.45 0.7 0.694069 0.415493 0.368703 -0.899771 -0.310794 -0.484218
116 11.55 0.4 0.0561717 0.123713 0.359265 -2.23271 -2.47992 -0.507014
117 11.65 0.5 0.374693 0.457224 0.391731 -1.51916 -1.40646 -0.372208
118 11.75 1.1 1.64336 1.72429 0.589243 0.751124 -0.877186 -0.248451
119 11.85 0.5 0.49961 0.24951 0.760358 0.0935739 -1.2739 0.0697885
120 11.95 0.5 0.695281 0.394508 0.403824 0.258345 -1.39009 0.190844
121 12.05 1.2 0.355509 0.626609 1.09899 -0.397843 -2.06778 -0.178693
122 12.15 0.9 0.348337 0.944909 0.509654 -2.33973 0.23889 -0.463113
123 12.25 0.8 1.0757 0.58791 0.613076 -2.47024 -2.10954 -0.864972
124 12.35 0.2 0.136945 0.0866321 0.165451 -1.39021 -0.0278096 -0.987882
125 12.45 0.9 0.29477 0.502607 0.711843 -0.326348 -1.07093 -1.09042
126 12.55 0.9 0.900362 0.427027 0.302684 0.192809 -1.66389 -1.34451
127 12.65 0.7 1.14559 0.494243 0.732024 0.151402 -0.106092 -1.65688
128 12.75 1 0.412188 0.598739 0.71033 -0.760596 -0.828027 -1.75969
129 12.85 0.4 0.0771773 0.0750025 0.155461 -2.2897 -1.62689 -1.72817
130 12.95 0.6 0.690626 0.865669 0.58435 -1.36002 -2.43565 -1.86659
131 13.05 0.8 0.597927 0.596511 0.881569 -2.85102 -2.95711 -1.72514
132 13.15 1 0.760194 1.98697 0.584883 0.910888 -2.51204 -1.15521
133 13.25 0.5 0.268486 0.55358 0.619367 2.668 -1.58721 -1.11704
134 13.35 0.8 0.967184 0.891073 0.788045 -1.88153 -1.37231 -1.0097
135 13.45 0.9 0.891345 0.479483 1.32178 -2.86476 -1.65848 -0.942827
136 13.55 0.4 0.637373 0.381899 0.322028 -1.57442 -0.735194 -0.535418
137 13.65 0.9 0.47408 1.45792 0.24879 -1.7982 -0.427568 -0.743471
138 13.75 1.1 0.368033 1.2453 0.56532 -0.228706 -1.23338 -0.618367
139 13.85 0.7 1.06568 0.565038 0.878979 -1.78456 -2.53626 -0.89347
140 13.95 0.6 0.278621 0.245051 0.445203 -0.330492 -1.87032 -0.610245
141 14.05 0.5 0.184147 0.259828 0.177249 -0.761753 -0.214752 -0.607183
142 14.15 0.7 0.244883 0.440478 0.50138 -1.26141 0.361359 -0.308661
143 14.25 1.1 1.70638 0.521332 1.20015 -2.16218 -1.75737 -0.234068
144 14.35 0.6 0.667011 0.538164 0.299289 0.439066 -0.882041 -0.246054
145 14.45 0.7 0.625568 0.728933 0.584987 -1.54003 0.857666 -0.256369
146 14.55 1 0.845233 0.86345 1.49671 -0.591382 1.77514 -0.718214
147 14.65 1.3 1.02499 1.19222 1.30698 -1.34908 0.1697 -0.762278
148 14.75 0.5 0.0372469 0.548644 0.41285 -2.26618 -0.658949 -0.735493
149 14.85 0.7 0.3656 1.41098 0.60565 -2.48048 -1.20936 -0.886046
150 14.95 0.5 0.765667 0.293508 0.49511 -2.77421 -2.37224 -0.920689
151 15.05 0.7 0.579929 1.03434 0.660227 -2.71161 -2.06218 -1.35265
152 15.15 0.6 0.326802 0.281543 0.247669 -2.39658 -1.80089 -1.38497
153 15.25 0.6 0.734516 0.367405 0.478844 -1.97879 -2.45684 -1.30099
154 15.35 1 1.00935 0.546976 0.802397 -1.96995 -1.31674 -1.22435
155 15.45 0.7 0.335042 0.799936 0.414362 -1.74247 -2.6167 -0.9203
156 15.55 0.9 0.840466 0.561243 1.13804 -2.55986 -1.96208 -0.442634
157 15.65 0.5 0.468229 0.15834 0.302811 -1.9755 -0.644559 -0.596381
158 15.75 0.7 0.282275 0.367936 0.404854 -1.06177 -0.0259647 -0.445787
159 15.85 0.8 0.488027 0.780294 1.05543 0.480233 -0.986241 -0.0733946
160 15.95 0.8 2.25121 0.792324 0.779665 -0.678969 -0.387308 -0.397534
161 16.05 0.5 0.425062 0.679216 0.237012 -1.29155 -0.980292 -0.599726
162 16.15 1 0.353505 0.37359 0.296093 -1.68952 -0.386661 -0.776969
163 16.25 0.6 0.26394 0.638371 0.354745 -1.13311 -2.02112 -1.08127
164 16.35 0.4 0.662349 0.123236 0.100596 0.223446 -1.4672 -1.27243
165 16.45 0.7 0.900584 0.986603 0.40638 -1.11822 -2.81787 -1.63205
166 16.55 1 0.514664 0.952771 0.266138 -1.72552 -2.64694 -1.50408
167 16.65 1 1.00407 0.782469 1.206 1.12659 -1.72562 -0.741959
168 16.75 0.5 0.14636 0.14315 0.516024 -1.45516 -0.139346 -0.76356
169 16.85 0.7 0.112688 0.49582 0.256008 0.27553 1.35872 -0.49668
170 16.95 0.6 0.173407 0.281675 0.588967 0.860285 -0.754347 -0.442338
171 17.05 0.7 1.3216 0.324968 0.254496 -1.02439 -0.945596 -0.0490571
172 17.15 1 0.544072 0.74925 1.52162 -1.7613 -0.270426 0.311763
173 17.25 0.8 0.438376 0.426127 0.931632 -1.60084 -0.772243 -0.468268
174 17.35 0.8 0.641153 0.673235 0.287209 -1.53574 -1.52401 -0.0480533
175 17.45 0.8 0.374288 0.481828 0.271448 -2.19358 -1.84168 0.00619681
176 17.55 1.1 0.789529 1.23855 0.305881 -1.27173 -1.06294 -0.0580197
177 17.65 0.4 0.337465 0.504677 0.801493 -1.17371 -1.10741 -0.098866
178 17.75 0.5 0.245438 0.114637 0.491753 -1.31548 -0.492933 -0.332381
179 17.85 0.9 0.406278 0.706958 1.00184 -1.67856 -0.661002 -0.69251
180 17.95 0.6 0.382036 0.625767 0.471417 0.354704 0.808864 -0.804504
181 18.05 1.2 0.357383 0.557304 1.17931 -1.79166 -0.265219 -0.714967
182 18.15 0.5 0.713564 0.36892 0.45589 -1.90433 -1.24314 -1.04491
183 18.25 0.8 0.471483 0.725143 0.839235 -1.75452 -0.797773 -1.2743
184 18.35 0.8 0.19065 0.781385 0.429735 -0.537981 -1.77357 -1.00434
185 18.45 0.9 1.49555 0.946793 1.1713 -1.56728 -1.52217 -0.93022
186 18.55 0.7 0.404099 0.585642 0.378442 0.0790905 -0.423749 -0.751852
187 18.65 0.5 0.493798 0.283478 0.249847 -0.912713 0.00950563 -0.312095
188 18.75 0.8 1.01338 1.62931 0.473227 -1.22889 -1.07638 -0.281554
189 18.85 0.7 0.93788 0.378163 0.295454 -1.2502 -0.462894 -0.75728
190 18.95 0.9 1.12722 1.19948 0.959914 -2.32008 -0.741344 -0.875491
191 19.05 1 0.531768 1.68649 1.3556 -1.46449 -0.0619996 -1.19099
192 19.15 0.6 0.259872 0.978355 0.516316 -2.7339 -0.457326 -1.38869
193 19.25 1.1 1.03558 1.3182 0.485787 -3.03434 -2.02016 -1.52614
194 19.35 1 1.02956 2.01406 0.397636 -1.21968 -3.47939 -1.80476
195 19.45 0.3 0.694856 0.111568 0.135926 0.16635 -2.32779 -2.06358
196 19.55 0.2 0.00277879 0.385473 0.00965241 0.645597 -2.00809 -2.46042
197 19.65 0.6 0.852047 0.654729 0.949166 -0.310236 -1.09514 -2.45668
198 19.75 1.3 1.47245 0.830019 0.809261 -2.10433 -2.42276 -2.22711
199 19.85 1 0.629463 0.514486 1.03184 -3.30968 -1.82616 -1.91026
200 19.95 0.2 0.13345 0.0121501 0.334817 -2.77592 -0.974559 -1.89774
201 20.05 1 0.632867 0.852409 0.635092 1.53969 1.24024 -1.8242
202 20.15 1 1.08247 0.772209 0.277104 0.122132 -0.732251 -1.76575
203 20.25 0.7 0.931519 0.948516 0.208885 -0.627383 -1.68777 -1.00881
204 20.35 0.3 0.0911502 0.334866 0.119932 -0.309349 -0.901234 -0.726443
205 20.45 1 1.13565 0.852635 0.843277 -1.35501 0.479331 -0.0414412
206 20.55 0.7 0.704445 0.438824 0.360709 -1.13703 1.58236 0.0903678
207 20.65 1.3 1.28668 1.53217 1.73478 0.172917 1.03998 -0.503064
208 20.75 0.8 0.338301 1.51422 0.783906 -1.00738 0.234762 -0.456374
209 20.85 0.8 1.02021 0.353475 0.284078 -0.584272 -0.324404 -0.424412
210 20.95 0.5 0.423934 0.149681 0.345219 -0.461693 -0.276163 -0.203699
211 21.05 0.5 0.181819 0.201487 0.323186 -1.54446 -0.357113 -0.450946
212 21.15 0.8 0.719349 0.405181 0.746518 -2.03445 0.148904 -0.951022
213 21.25 1.1 1.52144 0.563725 0.941074 -2.55397 -1.51094 -0.773644
214 21.35 0.4 0.142503 0.439005 0.470978 -1.99788 -1.29101 -0.694936
215 21.45 1 1.32299 0.571488 1.33631 -0.937937 -2.063 -0.758943
216 21.55 0.8 0.314934 0.635367 0.484169 0.525269 -1.78523 -0.367906
217 21.65 0.6 0.690829 0.310065 0.360879 1.89614 -2.06082 -0.570768
218 21.75 1.2 0.535042 1.07306 0.560975 1.47783 -1.22977 -0.460022
219 21.85 0.7 0.46614 0.76043 0.292449 -0.983323 -0.589733 -0.538956
220 21.95 0.6 1.01764 0.501325 0.316912 -1.88427 -1.19943 -0.693216
221 22.05 0.4 0.485351 0.20235 0.718369 -1.23199 -1.09918 -0.158052
222 22.15 0.7 0.419243 0.585472 0.214012 1.06343 -1.03378 -0.0908764
223 22.25 1.3 1.20928 0.791046 0.923627 0.161988 -0.780298 -0.200596
224 22.35 0.3 0.27831 0.106892 0.00994328 -0.664049 -0.443479 0.00939447
225 22.45 0.7 0.429754 0.287348 0.170329 -0.990401 -0.583683 -0.164689
226 22.55 0.7 0.476943 0.513219 0.749162 0.0117688 -0.645316 -0.51176
227 22.65 0.8 1.63352 1.14929 1.88527 -2.64451 -2.18437 -0.550369
228 22.75 1 1.11509 2.00999 0.842254 -3.14861 -2.06308 -1.5414
229 22.85 0.5 0.348919 0.448147 0.138283 -1.76465 -0.808933 -1.21486
230 22.95 0.5 0.166464 0.147101 0.486586 -1.85628 -1.60559 -1.27596
231 23.05 0.8 0.570436 0.477418 0.954636 -2.48399 -2.3727 -1.15409
232 23.15 0.7 0.497447 0.198075 0.380159 -1.41799 -2.59113 -0.59049
233 23.25 0.8 0.904006 0.702571 0.676274 -0.935285 -1.10168 -0.565617
234 23.35 0.9 0.358291 1.00505 0.527745 -1.8595 -2.4033 -0.798136
235 23.45 0.7 0.59677 0.687936 0.675997 -1.72024 -1.76818 -0.722641
236 23.55 0.6 0.544951 0.228193 0.450276 -1.80704 -1.54882 -0.541661
237 23.65 0.4 0.0585911 0.623853 0.0868616 -2.4349 -2.05649 -0.462644
238 23.75 0.8 0.77103 0.915117 0.828042 -2.83915 -2.5609 -0.930113
239 23.85 0.7 0.327697 0.315608 0.380719 -1.46649 -1.63568 -0.981162
240 23.95 0.6 0.0451709 0.997168 0.318044 -2.00434 -1.55078 -1.14494
241 24.05 0.6 0.259799 0.367107 0.319252 -2.03385 -2.18549 -1.64571
242 24.15 0.7 1.13734 0.512099 1.12819 -2.24996 -2.57482 -1.83243
243 24.25 0.7 0.553735 0.42433 0.471013 -1.21868 -1.7512 -1.23145
244 24.35 1.3 1.42381 1.23304 0.800369 -0.0587931 0.669262 -1.11552
245 24.45 0.6 0.286226 0.940607 0.814804 0.0405312 0.215056 -0.611203
246 24.55 0.5 0.347855 0.251718 1.04079 -0.824349 -1.63645 -0.314668
247 24.65 0.7 0.552303 0.519217 0.674435 -1.43419 -1.79064 -0.303812
248 24.75 0.6 0.450832 0.376184 0.277145 -0.803464 -0.998913 -0.621015
249 24.85 0.7 0.79969 0.249945 0.272013 -1.68305 -1.79522 -0.558594
250 24.95 0.6 0.983646 0.709188 0.571877 -1.24049 -1.66773 -0.200614
251 25.05 0.9 1.02132 2.26313 1.45443 -0.1236 -2.34355 -0.00557822
252 25.15 0.9 0.978182 1.20993 1.02149 -0.425538 -2.26388 -0.179129
253 25.25 0.6 0.462439 0.118631 0.287413 -1.38527 -2.36005 -0.717424
254 25.35 0.4 0.742988 1.08186 0.29159 -0.918991 -1.07008 -1.19309
255 25.45 0.3 0.0125683 0.0146995 0.169081 -1.32736 -0.973841 -1.23352
256 25.55 0.6 0.260215 0.424982 0.63727 -1.37118 -0.642822 -0.925916
257 25.65 0.5 0.144662 0.242724 0.0610024 -0.367492 0.0587096 -0.698964
258 25.75 0.9 0.447746 0.784336 0.62081 -1.75306 -1.27852 -0.740785
259 25.85 0.4 0.170282 0.0648409 0.578778 -1.81709 0.0640419 -0.40909
260 25.95 0.7 0.648836 0.403316 0.255672 -1.59667 -0.46302 -0.389744
261 26.05 0.3 0.13696 0.355029 0.147776 -1.22689 -0.293048 -0.329473
262 26.15 0.5 0.582399 0.362748 0.154611 0.602531 2.03563 0.0230277
263 26.25 0.3 0.476662 0.391565 0.320486 -0.324125 -0.112304 0.100067
264 26.35 0.2 0.113138 0.0239339 0.453044 0.0799434 -0.468753 0.0701142
265 26.45 0.5 0.410772 0.379764 0.575978 -0.181068 -0.807634 0.0960564
