# Chunk-averaged data for fix f2 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount c_sa[1] c_sa[2] c_sa[3]
0 396 2000
  131 7.83 4 0.52949 0.52949 0.581184
  132 7.89 4 0.527683 0.527683 0.579424
  133 7.95 4 0.5259 0.5259 0.577652
  134 8.01 4 0.52414 0.52414 0.575863
  135 8.07 3 0.391965 0.391965 0.430717
  136 8.13 4 0.521121 0.521121 0.57271
  137 8.19 4 0.51943 0.51943 0.570889
  138 8.25 4 0.517766 0.517766 0.569062
  139 8.31 4 0.516127 0.516127 0.567228
  140 8.37 4 0.514516 0.514516 0.565382
  141 8.43 4 0.512931 0.512931 0.563533
  142 8.49 4 0.511374 0.511374 0.561678
  143 8.55 4 0.509844 0.509844 0.559816
  144 8.61 4 0.508342 0.508342 0.557954
  145 8.67 3 0.380287 0.380287 0.41724
  146 8.73 4 0.505778 0.505778 0.554684
  147 8.79 4 0.504352 0.504352 0.552819
  148 8.85 4 0.502952 0.502952 0.550949
  149 8.91 4 0.50158 0.50158 0.54908
  150 8.97 4 0.500235 0.500235 0.547217
  151 9.03 4 0.498917 0.498917 0.545353
  152 9.09 4 0.497625 0.497625 0.543493
  153 9.15 4 0.49636 0.49636 0.541642
  154 9.21 4 0.49512 0.49512 0.53979
  155 9.27 4 0.493906 0.493906 0.537946
  156 9.33 3 0.369648 0.369648 0.402256
  157 9.39 4 0.491842 0.491842 0.53474
  158 9.45 4 0.490696 0.490696 0.532916
  159 9.51 4 0.489573 0.489573 0.531104
  160 9.57 4 0.488474 0.488474 0.529302
  161 9.63 4 0.487398 0.487398 0.527506
  162 9.69 4 0.486344 0.486344 0.525724
  163 9.75 4 0.485311 0.485311 0.523956
  164 9.81 4 0.484299 0.484299 0.522195
  165 9.87 3 0.362572 0.362572 0.390499
  166 9.93 4 0.482576 0.482576 0.51915
  167 9.99 4 0.481617 0.481617 0.51743
  168 10.05 4 0.480677 0.480677 0.515722
  169 10.11 4 0.479754 0.479754 0.514032
  170 10.17 4 0.478848 0.478848 0.512358
  171 10.23 3 0.358551 0.358551 0.383183
  172 10.29 4 0.477299 0.477299 0.50947
  173 10.35 4 0.476435 0.476435 0.507846
  174 10.41 4 0.475584 0.475584 0.50624
  175 10.47 4 0.474746 0.474746 0.504659
  176 10.53 3 0.355517 0.355517 0.377464
  177 10.59 4 0.473308 0.473308 0.501935
  178 10.65 4 0.472501 0.472501 0.500412
  179 10.71 4 0.471704 0.471704 0.498917
  180 10.77 3 0.35326 0.35326 0.373218
  181 10.83 4 0.47033 0.47033 0.496354
  182 10.89 4 0.469556 0.469556 0.494935
  183 10.95 3 0.351663 0.351663 0.370283
  184 11.01 4 0.468217 0.468217 0.492513
  185 11.07 4 0.46746 0.46746 0.49118
  186 11.13 3 0.350101 0.350101 0.367529
  187 11.19 4 0.466146 0.466146 0.488924
  188 11.25 4 0.465401 0.465401 0.487692
  189 11.31 3 0.348564 0.348564 0.364982
  190 11.37 4 0.464104 0.464104 0.485628
  191 11.43 3 0.347594 0.347594 0.363488
  192 11.49 4 0.462815 0.462815 0.483703
  193 11.55 4 0.462081 0.462081 0.482674
  194 11.61 3 0.34608 0.34608 0.361359
  195 11.67 4 0.460799 0.460799 0.480992
  196 11.73 3 0.34512 0.34512 0.360163
  197 11.79 4 0.459522 0.459522 0.479491
  198 11.85 4 0.458793 0.458793 0.478714
  199 11.91 3 0.343618 0.343618 0.358569
  200 11.97 4 0.457522 0.457522 0.477521
  201 12.03 3 0.342667 0.342667 0.357752
  202 12.09 4 0.456257 0.456257 0.476546
  203 12.15 3 0.34172 0.34172 0.357107
  204 12.21 4 0.455 0.455 0.475805
  205 12.27 3 0.340782 0.340782 0.356647
  206 12.33 4 0.453754 0.453754 0.47532
  207 12.39 3 0.339853 0.339853 0.356382
  208 12.45 4 0.452525 0.452525 0.475108
  209 12.51 4 0.451832 0.451832 0.475113
  210 12.57 3 0.338424 0.338424 0.356397
  211 12.63 4 0.450639 0.450639 0.475363
  212 12.69 3 0.33754 0.33754 0.356701
  213 12.75 4 0.449478 0.449478 0.475925
  214 12.81 3 0.336683 0.336683 0.357247
  215 12.87 4 0.448356 0.448356 0.47682
  216 12.93 4 0.447736 0.447736 0.477486
  217 12.99 3 0.335405 0.335405 0.358622
  218 13.05 4 0.446693 0.446693 0.478929
