# Chunk-averaged data for fix f2 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount c_sa[1] c_sa[2] c_sa[3]
0 396 2000
  131 7.83 4 0.529494 0.529494 0.581315
  132 7.89 4 0.527688 0.527688 0.579554
  133 7.95 4 0.525905 0.525905 0.577778
  134 8.01 4 0.524145 0.524145 0.575989
  135 8.07 3 0.391968 0.391968 0.430811
  136 8.13 4 0.521126 0.521126 0.572839
  137 8.19 4 0.519435 0.519435 0.571025
  138 8.25 4 0.51777 0.51777 0.569196
  139 8.31 4 0.516131 0.516131 0.567359
  140 8.37 4 0.51452 0.51452 0.565512
  141 8.43 4 0.512936 0.512936 0.563662
  142 8.49 4 0.511378 0.511378 0.561806
  143 8.55 4 0.509848 0.509848 0.559947
  144 8.61 4 0.508345 0.508345 0.558084
  145 8.67 3 0.38029 0.38029 0.417338
  146 8.73 4 0.505782 0.505782 0.554814
  147 8.79 4 0.504355 0.504355 0.552945
  148 8.85 4 0.502956 0.502956 0.551076
  149 8.91 4 0.501584 0.501584 0.54921
  150 8.97 4 0.500238 0.500238 0.547345
  151 9.03 4 0.49892 0.49892 0.545484
  152 9.09 4 0.497628 0.497628 0.543626
  153 9.15 4 0.496363 0.496363 0.541771
  154 9.21 4 0.495123 0.495123 0.539917
  155 9.27 4 0.493909 0.493909 0.538071
  156 9.33 3 0.36965 0.36965 0.402348
  157 9.39 4 0.491845 0.491845 0.534865
  158 9.45 4 0.490698 0.490698 0.533045
  159 9.51 4 0.489576 0.489576 0.531229
  160 9.57 4 0.488477 0.488477 0.529423
  161 9.63 4 0.487401 0.487401 0.527628
  162 9.69 4 0.486346 0.486346 0.525844
  163 9.75 4 0.485313 0.485313 0.524077
  164 9.81 4 0.484301 0.484301 0.522324
  165 9.87 3 0.362574 0.362574 0.390598
  166 9.93 4 0.482577 0.482577 0.519274
  167 9.99 4 0.481619 0.481619 0.517546
  168 10.05 4 0.480678 0.480678 0.515837
  169 10.11 4 0.479755 0.479755 0.514149
  170 10.17 4 0.478849 0.478849 0.512476
  171 10.23 3 0.358551 0.358551 0.383268
  172 10.29 4 0.477301 0.477301 0.509586
  173 10.35 4 0.476436 0.476436 0.507959
  174 10.41 4 0.475585 0.475585 0.506351
  175 10.47 4 0.474747 0.474747 0.504768
  176 10.53 3 0.355518 0.355518 0.377549
  177 10.59 4 0.473309 0.473309 0.502046
  178 10.65 4 0.472502 0.472502 0.50052
  179 10.71 4 0.471705 0.471705 0.49902
  180 10.77 3 0.353261 0.353261 0.373295
  181 10.83 4 0.470331 0.470331 0.49646
  182 10.89 4 0.469556 0.469556 0.495037
  183 10.95 3 0.351663 0.351663 0.370359
  184 11.01 4 0.468217 0.468217 0.492616
  185 11.07 4 0.46746 0.46746 0.491279
  186 11.13 3 0.350101 0.350101 0.367603
  187 11.19 4 0.466146 0.466146 0.489029
  188 11.25 4 0.465401 0.465401 0.487789
  189 11.31 3 0.348563 0.348563 0.365052
  190 11.37 4 0.464104 0.464104 0.485719
  191 11.43 3 0.347594 0.347594 0.363556
  192 11.49 4 0.462815 0.462815 0.483799
  193 11.55 4 0.46208 0.46208 0.482768
  194 11.61 3 0.346079 0.346079 0.36143
  195 11.67 4 0.460798 0.460798 0.481085
  196 11.73 3 0.345119 0.345119 0.360228
  197 11.79 4 0.459521 0.459521 0.479577
  198 11.85 4 0.458792 0.458792 0.478809
  199 11.91 3 0.343617 0.343617 0.358642
  200 11.97 4 0.457521 0.457521 0.477619
  201 12.03 3 0.342665 0.342665 0.357822
  202 12.09 4 0.456256 0.456256 0.476632
  203 12.15 3 0.341719 0.341719 0.35717
  204 12.21 4 0.454999 0.454999 0.47589
  205 12.27 3 0.34078 0.34078 0.356713
  206 12.33 4 0.453753 0.453753 0.475415
  207 12.39 3 0.339852 0.339852 0.356454
  208 12.45 4 0.452524 0.452524 0.475194
  209 12.51 4 0.45183 0.45183 0.475193
  210 12.57 3 0.338423 0.338423 0.356458
  211 12.63 4 0.450637 0.450637 0.475449
  212 12.69 3 0.337539 0.337539 0.35677
  213 12.75 4 0.449476 0.449476 0.476022
  214 12.81 3 0.336682 0.336682 0.35732
  215 12.87 4 0.448354 0.448354 0.476915
  216 12.93 4 0.447734 0.447734 0.477573
  217 12.99 3 0.335403 0.335403 0.358686
  218 13.05 4 0.446691 0.446691 0.479023
  219 13.11 3 0.334644 0.334644 0.359917
  220 13.17 4 0.44571 0.44571 0.480847
  221 13.23 3 0.333934 0.333934 0.361417
  222 13.29 4 0.444801 0.444801 0.483029
  223 13.35 4 0.444318 0.444318 0.48445
  224 13.41 3 0.332939 0.332939 0.36435
  225 13.47 4 0.443545 0.443545 0.487263
  226 13.53 3 0.332396 0.332396 0.366616
  227 13.59 4 0.442872 0.442872 0.490487
  228 13.65 4 0.442538 0.442538 0.492505
  229 13.71 3 0.331708 0.331708 0.370784
  230 13.77 4 0.442049 0.442049 0.496358
  231 13.83 3 0.331389 0.331389 0.37383
  232 13.89 4 0.441693 0.441693 0.500641
  233 13.95 4 0.441556 0.441556 0.503281
  234 14.01 3 0.331108 0.331108 0.379277
  235 14.07 4 0.441441 0.441441 0.508236
  236 14.13 3 0.331084 0.331084 0.383153
  237 14.19 4 0.441497 0.441497 0.513625
  238 14.25 3 0.331195 0.331195 0.387358
  239 14.31 4 0.441741 0.441741 0.519448
  240 14.37 4 0.441973 0.441973 0.522973
  241 14.43 3 0.331674 0.331674 0.39463
  242 14.49 4 0.44255 0.44255 0.529477
  243 14.55 3 0.332194 0.332194 0.399662
  244 14.61 4 0.443365 0.443365 0.536401
  245 14.67 3 0.332901 0.332901 0.405017
  246 14.73 4 0.444439 0.444439 0.54375
  247 14.79 3 0.333809 0.333809 0.410687
  248 14.85 3 0.334265 0.334265 0.41322
  249 14.91 4 0.446471 0.446471 0.555001
  250 14.97 3 0.335497 0.335497 0.419349
  251 15.03 3 0.336099 0.336099 0.42206
  252 15.09 4 0.449154 0.449154 0.567056
  253 15.15 3 0.337697 0.337697 0.42859
  254 15.21 3 0.338465 0.338465 0.431469
  255 15.27 4 0.452577 0.452577 0.579866
  256 15.33 3 0.340473 0.340473 0.438391
  257 15.39 3 0.341431 0.341431 0.441435
  258 15.45 3 0.342448 0.342448 0.444512
  259 15.51 3 0.343528 0.343528 0.447627
  260 15.57 4 0.459832 0.459832 0.601745
  261 15.63 3 0.346308 0.346308 0.455035
  262 15.69 3 0.347614 0.347614 0.458261
  263 15.75 3 0.348991 0.348991 0.461509
  264 15.81 3 0.350445 0.350445 0.464777
  265 15.87 3 0.351976 0.351976 0.468058
  266 15.93 3 0.353585 0.353585 0.471345
  267 15.99 3 0.355274 0.355274 0.474637
  268 16.05 3 0.357047 0.357047 0.477927
  269 16.11 3 0.358905 0.358905 0.481205
  270 16.17 3 0.360848 0.360848 0.484462
  271 16.23 2 0.241686 0.241686 0.324771
  272 16.29 3 0.364279 0.364279 0.48983
  273 16.35 3 0.366456 0.366456 0.493003
  274 16.41 3 0.368719 0.368719 0.496127
  275 16.47 3 0.371071 0.371071 0.499192
