# Time-averaged data for fix fB
# TimeStep Number-of-rows
# Row c_pB[1] c_pB[2] c_pB[3] c_pB[4] c_pB[5] c_pB[6] c_pB[7] c_pB[8]
0 360
80 7.95 0.1 0.000218687 0.100697 0.15297 -0.0265781 -0.0210034 -0.0291379
81 8.05 0 0 0 0 -0.0400835 -0.0313633 -0.0287144
82 8.15 0 0 0 0 -0.0400835 -0.0313633 -0.0287144
83 8.25 0 0 0 0 -0.0400835 -0.0313633 -0.0287144
84 8.35 0 0 0 0 -0.0400835 -0.0313633 -0.0287144
85 8.45 0.2 0.215328 0.182369 0.26436 1.51993 0.194881 -0.0556737
86 8.55 0.2 0.04608 0.173785 0.0434621 -0.406468 -0.284762 -0.169522
87 8.65 0.3 0.0900173 0.0384009 0.561055 -0.476805 -0.327871 -0.258244
88 8.75 0.1 0.150251 0.287581 0.029395 -0.427462 -0.313285 -0.3702
89 8.85 0 0 0 0 -0.257672 -0.260874 -0.417536
90 8.95 0 0 0 0 -0.257672 -0.260874 -0.417536
91 9.05 0.3 0.200941 0.0185972 0.406324 -0.505367 -0.355198 -0.499357
92 9.15 0 0 0 0 -0.32711 -0.382689 -0.539894
93 9.25 0.1 0.155516 0.0382894 0.129241 -0.332605 -0.376364 -0.529878
94 9.35 0.4 0.142143 0.0922476 0.610847 0.129736 1.6612 -0.548661
95 9.45 0.3 0.00201238 0.0305607 0.293824 0.244048 -0.89915 -0.673129
96 9.55 0.3 0.162648 0.0272218 0.145026 -1.02936 -1.02464 -0.741414
97 9.65 0.6 0.56048 0.0631205 0.734929 -1.15834 -1.36262 -0.813092
98 9.75 0.8 0.755564 0.480189 0.469098 0.413887 -0.647838 -0.974608
99 9.85 0.2 0.517142 0.0294609 0.36637 -1.19735 -1.19865 -1.06285
100 9.95 0.4 0.522643 0.416723 0.306283 -1.10063 -1.13895 -0.954099
101 10.05 0.3 0.284777 0.271829 0.133071 -0.691284 -0.731821 -0.744823
102 10.15 0.5 0.60773 0.341022 0.312895 -0.953185 -1.32164 -0.589515
103 10.25 0.4 0.970516 0.429641 0.392282 -0.385126 -1.14776 -0.559251
